match_id,match_date,match_time,team_name,opposition_name,is_home,goals_scored,goals_conceded,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Final third phase - Total,Long balls,Long balls - Total,Crosses,Crosses - Total,Duels,Dispossessed,Ground duels,Ground duels - Total,Aerial duels,Aerial duels - Total,Dribbles,Dribbles - Total,Tackles won,Tackles won - Total,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks,Errors lead to a goal,Red cards,Penalty saves
13981759,2025-07-18,16:00:00,Jagiellonia Białystok,Bruk-Bet Termalica Nieciecza,True,0,4,64.0,0.89,0.0,13.0,3.0,3.0,7.0,543.0,20.0,10.0,1.0,4.0,0.0,5.0,4.0,10.0,3.0,0.0,0.0,2.0,35.0,2.0,4.0,469.0,12.0,73.0,122.0,164.0,18.0,40.0,8.0,34.0,50.0,15.0,38.0,80.0,21.0,39.0,9.0,19.0,16.0,20.0,20.0,4.0,57.0,24.0,2.0,3.0,-0.809,2.0,0.0,0.0,2.0,,,
13981759,2025-07-18,16:00:00,Bruk-Bet Termalica Nieciecza,Jagiellonia Białystok,False,4,0,36.0,2.47,3.0,18.0,4.0,8.0,10.0,311.0,25.0,6.0,0.0,6.0,0.0,4.0,8.0,11.0,7.0,2.0,1.0,0.0,23.0,2.0,1.0,226.0,13.0,49.0,61.0,95.0,26.0,66.0,4.0,12.0,50.0,12.0,42.0,80.0,18.0,39.0,10.0,18.0,14.0,25.0,25.0,8.0,56.0,40.0,0.0,4.0,0.2532,0.0,1.0,1.0,10.0,,,
13981761,2025-07-18,18:30:00,Lech Poznań,Cracovia,True,1,4,75.0,1.43,1.0,10.0,1.0,5.0,10.0,638.0,6.0,11.0,1.0,2.0,0.0,6.0,2.0,5.0,5.0,1.0,,,16.0,5.0,3.0,572.0,24.0,90.0,150.0,196.0,19.0,35.0,4.0,30.0,53.0,6.0,30.0,55.0,11.0,23.0,13.0,19.0,6.0,6.0,6.0,4.0,31.0,7.0,,1.0,-1.6238,,0.0,0.0,4.0,3.0,,
13981761,2025-07-18,18:30:00,Cracovia,Lech Poznań,False,4,1,25.0,0.73,2.0,7.0,1.0,0.0,12.0,222.0,12.0,10.0,2.0,5.0,0.0,2.0,0.0,5.0,2.0,2.0,,,8.0,0.0,1.0,153.0,15.0,31.0,29.0,51.0,15.0,53.0,0.0,1.0,47.0,4.0,25.0,55.0,12.0,23.0,3.0,5.0,8.0,12.0,12.0,8.0,31.0,39.0,,1.0,-0.0992,,1.0,1.0,10.0,0.0,,
13981750,2025-07-19,12:45:00,Widzew Łódź,Zagłębie Lubin,True,1,0,53.0,1.06,,15.0,2.0,8.0,8.0,349.0,16.0,20.0,3.0,4.0,0.0,3.0,8.0,10.0,5.0,,,0.0,34.0,3.0,1.0,283.0,18.0,58.0,80.0,119.0,24.0,51.0,4.0,17.0,59.0,8.0,43.0,70.0,16.0,30.0,8.0,15.0,11.0,16.0,16.0,2.0,34.0,27.0,0.0,2.0,0.124,0.0,1.0,,8.0,,,
13981750,2025-07-19,12:45:00,Zagłębie Lubin,Widzew Łódź,False,0,1,47.0,0.67,,11.0,3.0,6.0,20.0,311.0,15.0,8.0,4.0,2.0,0.0,6.0,3.0,6.0,5.0,,,1.0,21.0,2.0,3.0,244.0,17.0,36.0,64.0,94.0,16.0,34.0,3.0,14.0,41.0,7.0,27.0,70.0,14.0,30.0,6.0,15.0,8.0,15.0,15.0,11.0,44.0,22.0,1.0,3.0,-0.2298,1.0,1.0,,7.0,,,
13981884,2025-07-19,15:30:00,Wisła Płock,MKS Korona Kielce,True,2,0,64.0,2.75,6.0,22.0,1.0,7.0,12.0,499.0,15.0,12.0,1.0,8.0,0.0,11.0,3.0,13.0,9.0,2.0,4.0,,46.0,4.0,1.0,436.0,15.0,64.0,157.0,195.0,29.0,39.0,6.0,25.0,60.0,6.0,33.0,57.0,17.0,26.0,5.0,9.0,7.0,15.0,15.0,8.0,33.0,25.0,,1.0,0.0729,0.0,1.0,0.0,3.0,,0.0,
13981884,2025-07-19,15:30:00,MKS Korona Kielce,Wisła Płock,False,0,2,36.0,0.12,0.0,5.0,6.0,1.0,13.0,282.0,10.0,12.0,3.0,1.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,,7.0,2.0,4.0,212.0,15.0,41.0,25.0,58.0,18.0,56.0,1.0,6.0,40.0,12.0,24.0,57.0,9.0,26.0,3.0,6.0,5.0,10.0,10.0,8.0,35.0,25.0,,6.0,0.148,2.0,0.0,1.0,17.0,,2.0,
13981754,2025-07-19,18:15:00,GKS Katowice,Raków Częstochowa,True,0,1,49.0,0.16,0.0,3.0,4.0,3.0,7.0,424.0,16.0,14.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,,0.0,,10.0,0.0,2.0,345.0,11.0,37.0,39.0,65.0,32.0,66.0,2.0,16.0,54.0,9.0,38.0,70.0,21.0,40.0,7.0,14.0,10.0,16.0,16.0,4.0,47.0,30.0,1.0,4.0,-0.0039,2.0,1.0,1.0,11.0,,,
13981754,2025-07-19,18:15:00,Raków Częstochowa,GKS Katowice,False,1,0,51.0,1.81,4.0,18.0,0.0,6.0,14.0,439.0,16.0,7.0,1.0,4.0,0.0,7.0,7.0,15.0,3.0,,4.0,,34.0,1.0,0.0,364.0,17.0,62.0,108.0,152.0,19.0,46.0,5.0,21.0,46.0,8.0,32.0,70.0,19.0,40.0,9.0,18.0,9.0,16.0,16.0,9.0,54.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,
