match_id,match_date,home_name,away_name,home_score,away_score,first_scorer,first_goal_period,first_goal_minute,first_goal_elapsed_minutes,duration,home_leading_minutes,away_leading_minutes,draw_minutes,home_leading_pct,away_leading_pct,draw_pct
13981759,2025-07-18,Jagiellonia Białystok,Bruk-Bet Termalica Nieciecza,0,4,away,1.0,17.0,17.0,94,0.0,77.0,17.0,0.0,81.9,18.1
13981761,2025-07-18,Lech Poznań,Cracovia,1,4,away,1.0,2.0,2.0,107,0.0,105.0,2.0,0.0,98.1,1.9
13981750,2025-07-19,Widzew Łódź,Zagłębie Lubin,1,0,home,1.0,40.0,40.0,97,57.0,0.0,40.0,58.8,0.0,41.2
13981884,2025-07-19,Wisła Płock,MKS Korona Kielce,2,0,home,1.0,45.0,50.0,101,51.0,0.0,50.0,50.5,0.0,49.5
13981754,2025-07-19,GKS Katowice,Raków Częstochowa,0,1,away,2.0,51.0,55.0,103,0.0,48.0,55.0,0.0,46.6,53.4
13981752,2025-07-20,Górnik Zabrze,KS Lechia Gdańsk,2,1,home,1.0,33.0,33.0,97,64.0,0.0,33.0,66.0,0.0,34.0
13981753,2025-07-20,Motor Lublin,MZKS Arka Gdynia,1,0,home,2.0,50.0,52.0,97,45.0,0.0,52.0,46.4,0.0,53.6
13981760,2025-07-20,Radomiak Radom,Pogoń Szczecin,5,1,home,1.0,35.0,35.0,96,61.0,0.0,35.0,63.5,0.0,36.5
14079318,2025-12-14,Legia Warszawa,Piast Gliwice,0,1,away,2.0,83.0,83.0,93,0.0,10.0,83.0,0.0,10.8,89.2
13981767,2025-07-25,Cracovia,Bruk-Bet Termalica Nieciecza,2,0,home,1.0,21.0,21.0,96,75.0,0.0,21.0,78.1,0.0,21.9
13981755,2025-07-25,MZKS Arka Gdynia,Radomiak Radom,1,1,home,1.0,14.0,14.0,97,49.0,0.0,48.0,50.5,0.0,49.5
13981745,2025-07-26,Piast Gliwice,Górnik Zabrze,0,1,away,2.0,84.0,89.0,99,0.0,10.0,89.0,0.0,10.1,89.9
13981766,2025-07-26,Pogoń Szczecin,Motor Lublin,4,1,away,1.0,9.0,9.0,95,54.0,6.0,35.0,56.8,6.3,36.8
13981765,2025-07-26,KS Lechia Gdańsk,Lech Poznań,3,4,home,1.0,22.0,22.0,97,35.0,31.0,31.0,36.1,32.0,32.0
13981747,2025-07-27,Raków Częstochowa,Wisła Płock,1,2,home,1.0,19.0,19.0,103,22.0,28.0,53.0,21.4,27.2,51.5
13981748,2025-07-27,Jagiellonia Białystok,Widzew Łódź,3,2,home,1.0,3.0,3.0,97,25.0,31.0,41.0,25.8,32.0,42.3
13981749,2025-07-27,MKS Korona Kielce,Legia Warszawa,0,2,away,1.0,9.0,9.0,102,0.0,93.0,9.0,0.0,91.2,8.8
14051696,2025-07-28,GKS Katowice,Zagłębie Lubin,2,2,away,1.0,15.0,15.0,96,0.0,68.0,28.0,0.0,70.8,29.2
13981758,2025-08-01,Zagłębie Lubin,MKS Korona Kielce,1,1,away,2.0,68.0,68.0,95,0.0,3.0,92.0,0.0,3.2,96.8
13981751,2025-08-01,Wisła Płock,Piast Gliwice,2,0,home,1.0,44.0,44.0,93,49.0,0.0,44.0,52.7,0.0,47.3
13981756,2025-08-02,Bruk-Bet Termalica Nieciecza,Pogoń Szczecin,1,1,home,1.0,18.0,18.0,93,50.0,0.0,43.0,53.8,0.0,46.2
13981763,2025-08-02,Widzew Łódź,GKS Katowice,3,0,home,1.0,18.0,18.0,97,79.0,0.0,18.0,81.4,0.0,18.6
13981769,2025-08-02,Lech Poznań,Górnik Zabrze,2,1,home,2.0,60.0,61.0,94,33.0,0.0,61.0,35.1,0.0,64.9
13981772,2025-08-03,Cracovia,KS Lechia Gdańsk,2,2,away,1.0,9.0,9.0,100,0.0,64.0,36.0,0.0,64.0,36.0
13981771,2025-08-03,Radomiak Radom,Raków Częstochowa,3,1,home,2.0,48.0,49.0,97,48.0,0.0,49.0,49.5,0.0,50.5
13981762,2025-08-03,Legia Warszawa,MZKS Arka Gdynia,0,0,,,,,96,0.0,0.0,96.0,0.0,0.0,100.0
15028170,2025-12-14,Motor Lublin,Jagiellonia Białystok,1,1,away,1.0,39.0,39.0,99,0.0,5.0,94.0,0.0,5.1,94.9
13981776,2025-08-08,MKS Korona Kielce,Radomiak Radom,3,0,home,1.0,19.0,19.0,100,81.0,0.0,19.0,81.0,0.0,19.0
13981774,2025-08-08,Górnik Zabrze,Bruk-Bet Termalica Nieciecza,0,1,away,1.0,38.0,38.0,96,0.0,58.0,38.0,0.0,60.4,39.6
13981764,2025-08-09,MZKS Arka Gdynia,Pogoń Szczecin,2,1,away,1.0,38.0,38.0,96,14.0,8.0,74.0,14.6,8.3,77.1
13981779,2025-08-09,Widzew Łódź,Wisła Płock,1,1,away,1.0,36.0,36.0,105,0.0,5.0,100.0,0.0,4.8,95.2
13981777,2025-08-10,Jagiellonia Białystok,Cracovia,5,2,away,1.0,15.0,15.0,94,20.0,40.0,34.0,21.3,42.6,36.2
13981768,2025-08-10,Legia Warszawa,GKS Katowice,3,1,home,1.0,43.0,43.0,99,45.0,0.0,54.0,45.5,0.0,54.5
13981773,2025-08-11,KS Lechia Gdańsk,Motor Lublin,3,3,home,1.0,3.0,3.0,95,35.0,31.0,29.0,36.8,32.6,30.5
15028166,2025-12-14,Raków Częstochowa,Zagłębie Lubin,0,1,away,2.0,81.0,86.0,101,0.0,15.0,86.0,0.0,14.9,85.1
15224906,2026-02-03,Piast Gliwice,Lech Poznań,1,0,home,2.0,83.0,88.0,99,11.0,0.0,88.0,11.1,0.0,88.9
13981786,2025-08-15,Zagłębie Lubin,KS Lechia Gdańsk,6,2,home,1.0,10.0,10.0,96,80.0,0.0,16.0,83.3,0.0,16.7
13981788,2025-08-15,Cracovia,Widzew Łódź,1,0,home,2.0,69.0,71.0,96,25.0,0.0,71.0,26.0,0.0,74.0
13981782,2025-08-16,Motor Lublin,Piast Gliwice,0,0,,,,,99,0.0,0.0,99.0,0.0,0.0,100.0
13981784,2025-08-16,GKS Katowice,MZKS Arka Gdynia,4,1,home,1.0,9.0,9.0,97,88.0,0.0,9.0,90.7,0.0,9.3
13981789,2025-08-16,Lech Poznań,MKS Korona Kielce,1,1,away,2.0,64.0,65.0,95,0.0,19.0,76.0,0.0,20.0,80.0
13981783,2025-08-17,Pogoń Szczecin,Górnik Zabrze,0,3,away,2.0,59.0,61.0,96,0.0,35.0,61.0,0.0,36.5,63.5
13981785,2025-08-17,Radomiak Radom,Jagiellonia Białystok,1,2,home,1.0,32.0,32.0,95,11.0,44.0,40.0,11.6,46.3,42.1
13981781,2025-08-17,Bruk-Bet Termalica Nieciecza,Raków Częstochowa,2,3,home,1.0,3.0,3.0,96,11.0,26.0,59.0,11.5,27.1,61.5
13981780,2025-08-17,Wisła Płock,Legia Warszawa,1,0,home,1.0,11.0,11.0,98,87.0,0.0,11.0,88.8,0.0,11.2
13981797,2025-08-22,Radomiak Radom,Bruk-Bet Termalica Nieciecza,1,1,away,1.0,3.0,3.0,93,0.0,3.0,90.0,0.0,3.2,96.8
13981796,2025-08-22,Widzew Łódź,Pogoń Szczecin,1,2,home,1.0,21.0,21.0,103,25.0,14.0,64.0,24.3,13.6,62.1
13981793,2025-08-23,MKS Korona Kielce,Motor Lublin,2,0,home,2.0,50.0,52.0,96,44.0,0.0,52.0,45.8,0.0,54.2
13981792,2025-08-23,Górnik Zabrze,GKS Katowice,3,0,home,1.0,40.0,40.0,94,54.0,0.0,40.0,57.4,0.0,42.6
13981795,2025-08-24,Piast Gliwice,Cracovia,0,0,,,,,93,0.0,0.0,93.0,0.0,0.0,100.0
13981791,2025-08-24,KS Lechia Gdańsk,MZKS Arka Gdynia,1,0,home,2.0,85.0,87.0,96,9.0,0.0,87.0,9.4,0.0,90.6
13981787,2025-08-25,Wisła Płock,Zagłębie Lubin,2,1,away,1.0,20.0,20.0,95,1.0,39.0,55.0,1.1,41.1,57.9
14570884,2025-09-24,Raków Częstochowa,Lech Poznań,2,2,away,1.0,29.0,29.0,106,0.0,48.0,58.0,0.0,45.3,54.7
14682952,2025-09-24,Legia Warszawa,Jagiellonia Białystok,0,0,,,,,97,0.0,0.0,97.0,0.0,0.0,100.0
13981800,2025-08-29,MZKS Arka Gdynia,Wisła Płock,1,0,home,2.0,48.0,49.0,96,47.0,0.0,49.0,49.0,0.0,51.0
13981803,2025-08-29,GKS Katowice,Radomiak Radom,3,2,away,1.0,14.0,14.0,100,29.0,11.0,60.0,29.0,11.0,60.0
13981798,2025-08-30,Bruk-Bet Termalica Nieciecza,MKS Korona Kielce,1,3,home,1.0,8.0,8.0,96,41.0,42.0,13.0,42.7,43.8,13.5
13981807,2025-08-30,Zagłębie Lubin,Piast Gliwice,2,2,away,1.0,18.0,18.0,99,0.0,68.0,31.0,0.0,68.7,31.3
13981799,2025-08-30,Górnik Zabrze,Motor Lublin,0,1,away,2.0,58.0,58.0,97,0.0,39.0,58.0,0.0,40.2,59.8
13981805,2025-08-31,Jagiellonia Białystok,KS Lechia Gdańsk,2,0,home,1.0,27.0,27.0,98,71.0,0.0,27.0,72.4,0.0,27.6
13981809,2025-08-31,Lech Poznań,Widzew Łódź,2,1,home,1.0,21.0,21.0,96,61.0,0.0,35.0,63.5,0.0,36.5
13981802,2025-08-31,Cracovia,Legia Warszawa,2,1,home,1.0,24.0,24.0,94,50.0,0.0,44.0,53.2,0.0,46.8
13981801,2025-08-31,Pogoń Szczecin,Raków Częstochowa,2,0,home,2.0,57.0,60.0,99,39.0,0.0,60.0,39.4,0.0,60.6
13981806,2025-09-12,KS Lechia Gdańsk,GKS Katowice,2,0,home,1.0,19.0,19.0,109,90.0,0.0,19.0,82.6,0.0,17.4
13981811,2025-09-12,Lech Poznań,Zagłębie Lubin,1,2,away,1.0,7.0,7.0,103,0.0,36.0,67.0,0.0,35.0,65.0
13981816,2025-09-13,MKS Korona Kielce,Pogoń Szczecin,1,0,home,1.0,38.0,38.0,98,60.0,0.0,38.0,61.2,0.0,38.8
13981814,2025-09-13,Piast Gliwice,Jagiellonia Białystok,1,1,away,2.0,61.0,64.0,100,0.0,32.0,68.0,0.0,32.0,68.0
13981810,2025-09-14,Motor Lublin,Bruk-Bet Termalica Nieciecza,1,1,home,1.0,5.0,5.0,96,59.0,0.0,37.0,61.5,0.0,38.5
13981808,2025-09-14,Legia Warszawa,Radomiak Radom,4,1,home,1.0,41.0,41.0,97,56.0,0.0,41.0,57.7,0.0,42.3
13981818,2025-09-14,Widzew Łódź,MZKS Arka Gdynia,2,0,home,1.0,9.0,9.0,94,85.0,0.0,9.0,90.4,0.0,9.6
14457539,2025-09-15,Raków Częstochowa,Górnik Zabrze,0,1,away,1.0,14.0,14.0,100,0.0,86.0,14.0,0.0,86.0,14.0
15161024,2025-12-04,Wisła Płock,Cracovia,0,0,,,,,93,0.0,0.0,93.0,0.0,0.0,100.0
13981822,2025-09-19,GKS Katowice,Cracovia,0,3,away,1.0,33.0,33.0,92,0.0,59.0,33.0,0.0,64.1,35.9
13981970,2025-09-19,Wisła Płock,Jagiellonia Białystok,0,1,away,2.0,82.0,82.0,96,0.0,14.0,82.0,0.0,14.6,85.4
13981820,2025-09-20,Radomiak Radom,Piast Gliwice,1,0,home,2.0,47.0,49.0,95,46.0,0.0,49.0,48.4,0.0,51.6
13981817,2025-09-20,MZKS Arka Gdynia,MKS Korona Kielce,0,0,,,,,97,0.0,0.0,97.0,0.0,0.0,100.0
13981813,2025-09-20,Bruk-Bet Termalica Nieciecza,Lech Poznań,0,2,away,1.0,45.0,45.0,97,0.0,52.0,45.0,0.0,53.6,46.4
13981823,2025-09-20,Raków Częstochowa,Legia Warszawa,1,1,away,1.0,41.0,41.0,101,0.0,11.0,90.0,0.0,10.9,89.1
13981815,2025-09-21,Zagłębie Lubin,Motor Lublin,2,2,home,1.0,6.0,6.0,98,47.0,33.0,18.0,48.0,33.7,18.4
13981821,2025-09-21,Pogoń Szczecin,KS Lechia Gdańsk,3,4,home,1.0,24.0,24.0,102,21.0,23.0,58.0,20.6,22.5,56.9
13981819,2025-09-21,Górnik Zabrze,Widzew Łódź,3,2,home,1.0,15.0,15.0,98,49.0,0.0,49.0,50.0,0.0,50.0
13981825,2025-09-26,Wisła Płock,GKS Katowice,1,1,home,1.0,45.0,45.0,94,9.0,0.0,85.0,9.6,0.0,90.4
13981829,2025-09-27,MKS Korona Kielce,KS Lechia Gdańsk,3,0,home,1.0,16.0,16.0,91,75.0,0.0,16.0,82.4,0.0,17.6
13981833,2025-09-27,Piast Gliwice,Bruk-Bet Termalica Nieciecza,4,2,away,1.0,9.0,9.0,99,37.0,44.0,18.0,37.4,44.4,18.2
