match_id,match_date,home_name,away_name,home_score,away_score,first_scorer,first_goal_period,first_goal_minute,first_goal_elapsed_minutes,duration,home_leading_minutes,away_leading_minutes,draw_minutes,home_leading_pct,away_leading_pct,draw_pct
14131857,2025-08-08,Casa Pia,Sporting CP,0,2,away,1.0,42.0,42.0,98,0.0,56.0,42.0,0.0,57.1,42.9
14131864,2025-08-09,CD Nacional,Gil Vicente,0,2,away,1.0,35.0,35.0,99,0.0,64.0,35.0,0.0,64.6,35.4
14131860,2025-08-09,FC Arouca,AVS - Futebol SAD,3,1,home,1.0,8.0,8.0,95,87.0,0.0,8.0,91.6,0.0,8.4
14131866,2025-08-10,Famalicão,Santa Clara,3,0,home,1.0,5.0,5.0,99,94.0,0.0,5.0,94.9,0.0,5.1
14131863,2025-08-10,Moreirense,FC Alverca,2,1,home,1.0,27.0,27.0,97,18.0,0.0,79.0,18.6,0.0,81.4
14131858,2025-08-10,Sporting Braga,Tondela,3,0,home,1.0,24.0,24.0,95,71.0,0.0,24.0,74.7,0.0,25.3
14131861,2025-08-11,Estoril Praia,CF Estrela Amadora,1,1,home,1.0,36.0,36.0,102,44.0,0.0,58.0,43.1,0.0,56.9
14357790,2025-08-11,FC Porto,Vitória SC,3,0,home,1.0,12.0,12.0,98,86.0,0.0,12.0,87.8,0.0,12.2
14131859,2025-09-23,Benfica,Rio Ave,1,1,home,2.0,86.0,89.0,100,5.0,0.0,95.0,5.0,0.0,95.0
14131868,2025-08-15,AVS - Futebol SAD,Casa Pia,0,2,away,1.0,31.0,31.0,105,0.0,74.0,31.0,0.0,70.5,29.5
14131875,2025-08-16,Tondela,Famalicão,0,1,away,2.0,69.0,72.0,99,0.0,27.0,72.0,0.0,27.3,72.7
14131873,2025-08-16,Vitória SC,Estoril Praia,3,2,away,1.0,19.0,19.0,109,40.0,23.0,46.0,36.7,21.1,42.2
14131876,2025-08-16,CF Estrela Amadora,Benfica,0,1,away,2.0,60.0,62.0,99,0.0,37.0,62.0,0.0,37.4,62.6
14131872,2025-08-17,Rio Ave,CD Nacional,1,1,home,1.0,13.0,13.0,99,73.0,0.0,26.0,73.7,0.0,26.3
14131869,2025-08-17,FC Alverca,Sporting Braga,0,3,away,1.0,11.0,11.0,97,0.0,86.0,11.0,0.0,88.7,11.3
14131871,2025-08-17,Santa Clara,Moreirense,0,1,away,1.0,8.0,8.0,99,0.0,91.0,8.0,0.0,91.9,8.1
14131874,2025-08-17,Sporting CP,FC Arouca,6,0,home,1.0,20.0,20.0,96,76.0,0.0,20.0,79.2,0.0,20.8
14131870,2025-08-18,Gil Vicente,FC Porto,0,2,away,1.0,20.0,20.0,101,0.0,81.0,20.0,0.0,80.2,19.8
14131885,2025-08-23,Moreirense,Vitória SC,2,0,home,2.0,47.0,51.0,99,48.0,0.0,51.0,48.5,0.0,51.5
14131877,2025-08-23,CD Nacional,Sporting CP,1,4,home,1.0,3.0,3.0,98,52.0,19.0,27.0,53.1,19.4,27.6
14131880,2025-08-23,Benfica,Tondela,3,0,home,1.0,31.0,31.0,98,67.0,0.0,31.0,68.4,0.0,31.6
14131878,2025-08-23,FC Arouca,Rio Ave,3,3,home,1.0,24.0,24.0,99,29.0,28.0,42.0,29.3,28.3,42.4
14131879,2025-08-24,Famalicão,Gil Vicente,0,0,,,,,98,0.0,0.0,98.0,0.0,0.0,100.0
14131882,2025-08-24,FC Porto,Casa Pia,4,0,home,1.0,20.0,20.0,94,74.0,0.0,20.0,78.7,0.0,21.3
14131881,2025-08-24,Sporting Braga,AVS - Futebol SAD,2,2,home,1.0,23.0,23.0,101,5.0,57.0,39.0,5.0,56.4,38.6
14131883,2025-08-25,CF Estrela Amadora,FC Alverca,2,2,away,1.0,37.0,37.0,111,0.0,37.0,74.0,0.0,33.3,66.7
14131884,2025-09-06,Estoril Praia,Santa Clara,0,1,away,2.0,53.0,55.0,99,0.0,44.0,55.0,0.0,44.4,55.6
14131889,2025-08-29,Gil Vicente,Moreirense,2,0,home,2.0,49.0,50.0,96,46.0,0.0,50.0,47.9,0.0,52.1
14131887,2025-08-30,Casa Pia,CD Nacional,0,2,away,1.0,33.0,33.0,98,0.0,65.0,33.0,0.0,66.3,33.7
14131886,2025-08-30,AVS - Futebol SAD,Famalicão,0,1,away,2.0,70.0,71.0,98,0.0,27.0,71.0,0.0,27.6,72.4
14131892,2025-08-30,Vitória SC,FC Arouca,1,1,home,1.0,31.0,31.0,100,3.0,0.0,97.0,3.0,0.0,97.0
14131893,2025-08-30,Sporting CP,FC Porto,1,2,away,2.0,61.0,62.0,99,0.0,37.0,62.0,0.0,37.4,62.6
14131891,2025-08-31,Tondela,Estoril Praia,2,2,away,1.0,43.0,43.0,101,2.0,33.0,66.0,2.0,32.7,65.3
14131888,2025-08-31,FC Alverca,Benfica,1,2,away,1.0,5.0,5.0,97,0.0,92.0,5.0,0.0,94.8,5.2
14131894,2025-08-31,Rio Ave,Sporting Braga,2,2,home,1.0,14.0,14.0,100,75.0,0.0,25.0,75.0,0.0,25.0
14131890,2025-08-31,Santa Clara,CF Estrela Amadora,0,0,,,,,99,0.0,0.0,99.0,0.0,0.0,100.0
14131901,2025-09-12,Benfica,Santa Clara,1,1,home,2.0,59.0,64.0,99,33.0,0.0,66.0,33.3,0.0,66.7
14131896,2025-09-12,FC Alverca,Tondela,1,0,home,1.0,44.0,44.0,100,56.0,0.0,44.0,56.0,0.0,44.0
14131902,2025-09-13,Estoril Praia,AVS - Futebol SAD,3,1,home,1.0,12.0,12.0,101,89.0,0.0,12.0,88.1,0.0,11.9
14131899,2025-09-13,Moreirense,Rio Ave,3,1,home,2.0,46.0,47.0,98,51.0,0.0,47.0,52.0,0.0,48.0
14131903,2025-09-13,FC Porto,CD Nacional,1,0,home,1.0,31.0,31.0,104,73.0,0.0,31.0,70.2,0.0,29.8
14131898,2025-09-13,Famalicão,Sporting CP,1,2,home,1.0,17.0,17.0,100,5.0,30.0,65.0,5.0,30.0,65.0
14131895,2025-09-14,CF Estrela Amadora,Vitória SC,0,2,away,1.0,33.0,33.0,102,0.0,69.0,33.0,0.0,67.6,32.4
14131897,2025-09-14,FC Arouca,Casa Pia,0,2,away,1.0,14.0,14.0,103,0.0,89.0,14.0,0.0,86.4,13.6
14131900,2025-09-14,Sporting Braga,Gil Vicente,0,1,away,1.0,45.0,47.0,100,0.0,53.0,47.0,0.0,53.0,47.0
14131911,2025-09-19,Rio Ave,FC Porto,0,3,away,1.0,4.0,4.0,96,0.0,92.0,4.0,0.0,95.8,4.2
14131910,2025-09-20,CD Nacional,FC Arouca,1,2,home,2.0,66.0,68.0,102,8.0,11.0,83.0,7.8,10.8,81.4
14131908,2025-09-20,Santa Clara,FC Alverca,2,1,home,1.0,9.0,9.0,101,11.0,0.0,90.0,10.9,0.0,89.1
14131904,2025-09-20,AVS - Futebol SAD,Benfica,0,3,away,1.0,45.0,48.0,98,0.0,50.0,48.0,0.0,51.0,49.0
14131913,2025-09-20,Vitória SC,Sporting Braga,1,1,away,1.0,27.0,27.0,102,0.0,5.0,97.0,0.0,4.9,95.1
14131907,2025-09-21,Tondela,CF Estrela Amadora,0,0,,,,,97,0.0,0.0,97.0,0.0,0.0,100.0
14131906,2025-09-21,Gil Vicente,Estoril Praia,2,0,home,1.0,15.0,15.0,94,79.0,0.0,15.0,84.0,0.0,16.0
14131905,2025-09-21,Casa Pia,Famalicão,1,1,away,2.0,47.0,48.0,98,0.0,41.0,57.0,0.0,41.8,58.2
14131912,2025-09-22,Sporting CP,Moreirense,3,0,home,2.0,76.0,78.0,97,19.0,0.0,78.0,19.6,0.0,80.4
14131920,2025-09-26,Benfica,Gil Vicente,2,1,away,1.0,11.0,11.0,106,80.0,7.0,19.0,75.5,6.6,17.9
14131922,2025-09-27,Moreirense,Casa Pia,2,1,away,1.0,7.0,7.0,100,25.0,7.0,68.0,25.0,7.0,68.0
14131918,2025-09-27,Santa Clara,Tondela,1,2,away,2.0,60.0,61.0,98,0.0,37.0,61.0,0.0,37.8,62.2
14131921,2025-09-27,CF Estrela Amadora,AVS - Futebol SAD,3,0,home,1.0,21.0,21.0,97,76.0,0.0,21.0,78.4,0.0,21.6
14131914,2025-09-27,Estoril Praia,Sporting CP,0,1,away,1.0,12.0,12.0,97,0.0,85.0,12.0,0.0,87.6,12.4
14131915,2025-09-28,FC Alverca,Vitória SC,2,0,home,1.0,41.0,41.0,100,59.0,0.0,41.0,59.0,0.0,41.0
14131919,2025-09-28,Sporting Braga,CD Nacional,0,1,away,1.0,6.0,6.0,102,0.0,96.0,6.0,0.0,94.1,5.9
14131917,2025-09-28,Famalicão,Rio Ave,0,0,,,,,105,0.0,0.0,105.0,0.0,0.0,100.0
14131916,2025-09-29,FC Arouca,FC Porto,0,4,away,1.0,12.0,12.0,96,0.0,84.0,12.0,0.0,87.5,12.5
14131924,2025-10-03,Casa Pia,Estoril Praia,2,2,away,1.0,14.0,14.0,96,41.0,14.0,41.0,42.7,14.6,42.7
14131928,2025-10-04,CD Nacional,Moreirense,3,2,away,1.0,4.0,4.0,98,11.0,20.0,67.0,11.2,20.4,68.4
14131927,2025-10-04,Gil Vicente,CF Estrela Amadora,2,0,home,1.0,32.0,32.0,102,70.0,0.0,32.0,68.6,0.0,31.4
14131923,2025-10-04,AVS - Futebol SAD,FC Alverca,1,3,home,1.0,9.0,9.0,103,40.0,48.0,15.0,38.8,46.6,14.6
14131929,2025-10-04,Vitória SC,Santa Clara,2,1,away,1.0,6.0,6.0,100,19.0,70.0,11.0,19.0,70.0,11.0
14131925,2025-10-05,FC Arouca,Famalicão,1,1,home,2.0,58.0,58.0,99,28.0,0.0,71.0,28.3,0.0,71.7
14131926,2025-10-05,Rio Ave,Tondela,3,0,home,1.0,25.0,25.0,98,73.0,0.0,25.0,74.5,0.0,25.5
14131930,2025-10-05,Sporting CP,Sporting Braga,1,1,home,1.0,19.0,19.0,104,80.0,0.0,24.0,76.9,0.0,23.1
14131931,2025-10-05,FC Porto,Benfica,0,0,,,,,98,0.0,0.0,98.0,0.0,0.0,100.0
14131934,2025-10-24,FC Alverca,Gil Vicente,0,4,away,1.0,1.0,1.0,97,0.0,96.0,1.0,0.0,99.0,1.0
14131938,2025-10-25,Santa Clara,AVS - Futebol SAD,2,0,home,2.0,72.0,73.0,95,22.0,0.0,73.0,23.2,0.0,76.8
14131939,2025-10-25,Benfica,FC Arouca,5,0,home,1.0,9.0,9.0,100,91.0,0.0,9.0,91.0,0.0,9.0
14131933,2025-10-25,CF Estrela Amadora,Rio Ave,1,2,home,1.0,28.0,28.0,100,25.0,26.0,49.0,25.0,26.0,49.0
14131932,2025-10-26,Estoril Praia,CD Nacional,1,1,away,1.0,37.0,37.0,104,0.0,28.0,76.0,0.0,26.9,73.1
14131935,2025-10-26,Famalicão,Vitória SC,2,0,home,1.0,41.0,41.0,101,60.0,0.0,41.0,59.4,0.0,40.6
14131940,2025-10-26,Tondela,Sporting CP,0,3,away,1.0,18.0,18.0,94,0.0,76.0,18.0,0.0,80.9,19.1
14131937,2025-10-26,Sporting Braga,Casa Pia,4,0,home,1.0,5.0,5.0,93,88.0,0.0,5.0,94.6,0.0,5.4
14131936,2025-10-27,Moreirense,FC Porto,1,2,home,1.0,18.0,18.0,106,31.0,12.0,63.0,29.2,11.3,59.4
14131945,2025-10-31,Sporting CP,FC Alverca,2,0,home,2.0,68.0,72.0,98,26.0,0.0,72.0,26.5,0.0,73.5
14131946,2025-11-01,CD Nacional,Famalicão,0,1,away,1.0,45.0,47.0,99,0.0,52.0,47.0,0.0,52.5,47.5
14131942,2025-11-01,Casa Pia,CF Estrela Amadora,3,5,home,1.0,34.0,34.0,106,2.0,43.0,61.0,1.9,40.6,57.5
14131944,2025-11-01,Rio Ave,Estoril Praia,0,4,away,1.0,40.0,40.0,96,0.0,56.0,40.0,0.0,58.3,41.7
14131949,2025-11-01,Vitória SC,Benfica,0,3,away,2.0,53.0,55.0,96,0.0,41.0,55.0,0.0,42.7,57.3
14131941,2025-11-02,AVS - Futebol SAD,Tondela,2,2,away,1.0,14.0,14.0,98,9.0,29.0,60.0,9.2,29.6,61.2
14131943,2025-11-02,FC Arouca,Moreirense,0,2,away,1.0,12.0,12.0,97,0.0,85.0,12.0,0.0,87.6,12.4
14131948,2025-11-02,FC Porto,Sporting Braga,2,1,home,1.0,45.0,45.0,98,25.0,0.0,73.0,25.5,0.0,74.5
14131947,2025-11-03,Gil Vicente,Santa Clara,1,0,home,1.0,9.0,9.0,97,88.0,0.0,9.0,90.7,0.0,9.3
14131957,2025-11-07,Estoril Praia,FC Arouca,4,3,away,1.0,5.0,5.0,96,31.0,17.0,48.0,32.3,17.7,50.0
14131952,2025-11-08,FC Alverca,Rio Ave,1,1,away,1.0,35.0,35.0,98,0.0,44.0,54.0,0.0,44.9,55.1
14131958,2025-11-08,Tondela,Vitória SC,0,1,away,2.0,90.0,92.0,96,0.0,4.0,92.0,0.0,4.2,95.8
14131954,2025-11-08,Santa Clara,Sporting CP,1,2,home,1.0,5.0,5.0,99,27.0,3.0,69.0,27.3,3.0,69.7
14131950,2025-11-09,AVS - Futebol SAD,Gil Vicente,1,1,away,1.0,5.0,5.0,101,0.0,86.0,15.0,0.0,85.1,14.9
14131951,2025-11-09,CF Estrela Amadora,CD Nacional,1,1,away,1.0,40.0,40.0,102,0.0,26.0,76.0,0.0,25.5,74.5
14131953,2025-11-09,Famalicão,FC Porto,0,1,away,1.0,36.0,36.0,97,0.0,61.0,36.0,0.0,62.9,37.1
14131956,2025-11-09,Benfica,Casa Pia,2,2,home,1.0,17.0,17.0,99,76.0,0.0,23.0,76.8,0.0,23.2
14131955,2025-11-09,Sporting Braga,Moreirense,2,1,home,1.0,13.0,13.0,96,83.0,0.0,13.0,86.5,0.0,13.5
14131962,2025-11-28,Vitória SC,AVS - Futebol SAD,4,0,home,1.0,14.0,14.0,95,81.0,0.0,14.0,85.3,0.0,14.7
14131965,2025-11-29,Casa Pia,FC Alverca,0,2,away,2.0,76.0,84.0,108,0.0,24.0,84.0,0.0,22.2,77.8
14131966,2025-11-29,Moreirense,Famalicão,2,2,away,1.0,21.0,21.0,98,0.0,52.0,46.0,0.0,53.1,46.9
14131968,2025-11-29,CD Nacional,Benfica,1,2,home,2.0,60.0,64.0,103,29.0,4.0,70.0,28.2,3.9,68.0
14131961,2025-11-29,Gil Vicente,Tondela,0,1,away,1.0,35.0,35.0,101,0.0,66.0,35.0,0.0,65.3,34.7
14131967,2025-11-30,Rio Ave,Santa Clara,1,1,home,1.0,24.0,24.0,100,14.0,0.0,86.0,14.0,0.0,86.0
