match_id,match_date,match_time,team_name,opposition_name,is_home,goals_scored,goals_conceded,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Final third phase - Total,Long balls,Long balls - Total,Crosses,Crosses - Total,Duels,Dispossessed,Ground duels,Ground duels - Total,Aerial duels,Aerial duels - Total,Dribbles,Dribbles - Total,Tackles won,Tackles won - Total,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks,Errors lead to a goal,Red cards,Penalty saves
14131857,2025-08-08,19:15:00,Casa Pia,Sporting CP,True,0,2,33.0,0.43,1.0,7.0,8.0,2.0,14.0,268.0,13.0,11.0,4.0,2.0,0.0,3.0,2.0,3.0,4.0,0.0,1.0,1.0,18.0,1.0,1.0,208.0,13.0,34.0,41.0,67.0,24.0,50.0,1.0,9.0,47.0,6.0,27.0,61.0,11.0,20.0,7.0,13.0,7.0,13.0,13.0,7.0,41.0,28.0,2.0,8.0,1.819,1.0,0.0,1.0,11.0,,,
14131857,2025-08-08,19:15:00,Sporting CP,Casa Pia,False,2,0,67.0,2.85,6.0,27.0,2.0,9.0,11.0,552.0,12.0,14.0,1.0,12.0,2.0,9.0,6.0,20.0,7.0,1.0,5.0,2.0,47.0,3.0,1.0,482.0,23.0,53.0,131.0,167.0,21.0,40.0,7.0,22.0,53.0,5.0,34.0,61.0,9.0,20.0,9.0,17.0,7.0,12.0,12.0,4.0,44.0,19.0,0.0,2.0,0.2087,0.0,1.0,0.0,7.0,,,
14131864,2025-08-09,14:30:00,CD Nacional,Gil Vicente,True,0,2,60.0,0.79,,14.0,0.0,14.0,21.0,277.0,15.0,16.0,3.0,3.0,1.0,8.0,3.0,10.0,4.0,,,2.0,22.0,4.0,4.0,208.0,30.0,48.0,37.0,74.0,23.0,53.0,10.0,33.0,53.0,5.0,31.0,64.0,26.0,44.0,3.0,8.0,10.0,15.0,15.0,6.0,31.0,39.0,1.0,0.0,-1.2524,0.0,0.0,0.0,7.0,1.0,,
14131864,2025-08-09,14:30:00,Gil Vicente,CD Nacional,False,2,0,40.0,0.62,,12.0,3.0,6.0,16.0,195.0,10.0,21.0,6.0,2.0,2.0,6.0,4.0,7.0,5.0,,,0.0,12.0,5.0,1.0,125.0,22.0,43.0,21.0,48.0,15.0,59.0,2.0,15.0,47.0,8.0,33.0,64.0,18.0,44.0,5.0,12.0,6.0,10.0,10.0,7.0,20.0,47.0,0.0,3.0,0.5312,1.0,2.0,1.0,12.0,0.0,,
14131860,2025-08-09,19:30:00,FC Arouca,AVS - Futebol SAD,True,3,1,53.0,1.1,2.0,9.0,1.0,4.0,13.0,447.0,14.0,17.0,2.0,4.0,0.0,3.0,2.0,7.0,2.0,1.0,1.0,,13.0,2.0,0.0,384.0,27.0,51.0,67.0,93.0,37.0,75.0,2.0,21.0,50.0,7.0,35.0,64.0,8.0,22.0,6.0,8.0,10.0,14.0,14.0,5.0,43.0,23.0,,1.0,-0.1382,,1.0,,10.0,,,
14131860,2025-08-09,19:30:00,AVS - Futebol SAD,FC Arouca,False,1,3,47.0,1.13,4.0,15.0,1.0,5.0,17.0,386.0,9.0,13.0,0.0,2.0,0.0,8.0,5.0,8.0,7.0,1.0,3.0,,23.0,3.0,1.0,321.0,17.0,39.0,44.0,75.0,31.0,58.0,10.0,26.0,50.0,8.0,29.0,64.0,14.0,22.0,8.0,14.0,7.0,9.0,9.0,10.0,45.0,16.0,,1.0,-0.3986,,2.0,,10.0,,,
14131866,2025-08-10,16:00:00,Famalicão,Santa Clara,True,3,0,46.0,1.01,2.0,6.0,2.0,2.0,20.0,381.0,19.0,15.0,4.0,3.0,0.0,2.0,1.0,4.0,2.0,1.0,1.0,,10.0,3.0,,314.0,20.0,39.0,84.0,118.0,18.0,39.0,2.0,10.0,52.0,5.0,37.0,71.0,8.0,15.0,4.0,6.0,11.0,19.0,19.0,7.0,43.0,28.0,1.0,2.0,0.1647,,1.0,,7.0,,,
14131866,2025-08-10,16:00:00,Santa Clara,Famalicão,False,0,3,54.0,0.36,2.0,7.0,0.0,3.0,15.0,434.0,7.0,20.0,2.0,2.0,0.0,5.0,0.0,4.0,3.0,0.0,2.0,,13.0,1.0,,380.0,22.0,52.0,50.0,78.0,35.0,52.0,1.0,16.0,48.0,8.0,34.0,71.0,7.0,15.0,8.0,19.0,4.0,7.0,7.0,6.0,36.0,11.0,0.0,0.0,-2.0101,,1.0,,8.0,,,
14131863,2025-08-10,19:30:00,Moreirense,FC Alverca,True,2,1,58.0,0.93,3.0,10.0,1.0,6.0,15.0,504.0,22.0,5.0,3.0,3.0,1.0,3.0,4.0,6.0,4.0,2.0,1.0,0.0,19.0,0.0,1.0,440.0,20.0,67.0,112.0,146.0,26.0,46.0,3.0,23.0,43.0,9.0,32.0,70.0,6.0,19.0,5.0,13.0,12.0,22.0,22.0,9.0,44.0,28.0,,1.0,-0.2335,0.0,1.0,,4.0,0.0,,
14131863,2025-08-10,19:30:00,FC Alverca,Moreirense,False,1,2,42.0,0.97,1.0,7.0,1.0,2.0,5.0,368.0,17.0,14.0,1.0,2.0,0.0,5.0,0.0,2.0,5.0,1.0,0.0,1.0,9.0,3.0,0.0,291.0,26.0,56.0,35.0,75.0,28.0,66.0,4.0,9.0,57.0,6.0,38.0,70.0,13.0,19.0,7.0,23.0,11.0,17.0,17.0,9.0,46.0,32.0,,1.0,-0.542,1.0,1.0,,4.0,1.0,,
