Team,PrevRank,CurrRank,Diff,AbsDiff,Kind
Lech Poznan,1,1,0,0,stayed
Jagiellonia,3,2,1,1,stayed
Gornik Zabrze,9,3,6,6,stayed
Rakow,2,4,-2,2,stayed
GKS Katowice,7,5,2,2,stayed
Legia,5,6,-1,1,stayed
Zaglebie,15,7,8,8,stayed
Wisla Plock,16,8,8,8,promoted
Pogon Szczecin,4,9,-5,5,stayed
Radomiak Radom,12,10,2,2,stayed
Korona Kielce,11,11,0,0,stayed
Lechia Gdansk,14,12,2,2,stayed
Motor Lublin,8,13,-5,5,stayed
Widzew Lodz,13,14,-1,1,stayed
Cracovia,6,15,-9,9,stayed
Piast Gliwice,10,16,-6,6,stayed
Arka Gdynia,17,17,0,0,promoted
Termalica B-B.,18,18,0,0,promoted
