Team,PrevRank,CurrRank,Diff,AbsDiff,Kind
Inter,2,1,1,1,stayed
Napoli,1,2,-1,1,stayed
Roma,5,3,2,2,stayed
Como,10,4,6,6,stayed
Milan,8,5,3,3,stayed
Juventus,4,6,-2,2,stayed
Atalanta,3,7,-4,4,stayed
Bologna,9,8,1,1,stayed
Lazio,7,9,-2,2,stayed
Udinese,12,10,2,2,stayed
Sassuolo,18,11,7,7,promoted
Parma,15,12,3,3,stayed
Torino,11,13,-2,2,stayed
Cagliari,16,14,2,2,stayed
Fiorentina,6,15,-9,9,stayed
Genoa,13,16,-3,3,stayed
Lecce,17,17,0,0,stayed
Cremonese,19,18,1,1,promoted
Verona,14,19,-5,5,stayed
Pisa,20,20,0,0,promoted
