Rank,Team,P,W,D,L,GF,GA,Pts,GD,PPG,League
1,Arsenal,38,26,7,5,71,27,85,44,2.236842105263158,EPL
2,Man City,38,23,9,6,77,35,78,42,2.0526315789473686,EPL
3,Man United,38,20,11,7,69,50,71,19,1.868421052631579,EPL
4,Aston Villa,38,19,8,11,56,49,65,7,1.7105263157894737,EPL
5,Liverpool,38,17,9,12,63,53,60,10,1.5789473684210527,EPL
6,Bournemouth,38,13,18,7,58,54,57,4,1.5,EPL
7,Sunderland,38,14,12,12,42,48,54,-6,1.4210526315789473,EPL
8,Brighton,38,14,11,13,52,46,53,6,1.394736842105263,EPL
9,Brentford,38,14,11,13,55,52,53,3,1.394736842105263,EPL
10,Chelsea,38,14,10,14,58,52,52,6,1.368421052631579,EPL
11,Fulham,38,15,7,16,47,51,52,-4,1.368421052631579,EPL
12,Newcastle,38,14,7,17,53,55,49,-2,1.2894736842105263,EPL
13,Everton,38,13,10,15,47,50,49,-3,1.2894736842105263,EPL
14,Leeds,38,11,14,13,49,56,47,-7,1.236842105263158,EPL
15,Crystal Palace,38,11,12,15,41,51,45,-10,1.1842105263157894,EPL
16,Nott'm Forest,38,11,11,16,48,51,44,-3,1.1578947368421053,EPL
17,Tottenham,38,10,11,17,48,57,41,-9,1.0789473684210527,EPL
18,West Ham,38,10,9,19,46,65,39,-19,1.0263157894736843,EPL
19,Burnley,38,4,10,24,38,75,22,-37,0.5789473684210527,EPL
20,Wolves,38,3,11,24,27,68,20,-41,0.5263157894736842,EPL
1,Barcelona,38,31,1,6,95,36,94,59,2.473684210526316,La Liga
2,Real Madrid,38,27,5,6,77,35,86,42,2.263157894736842,La Liga
3,Villarreal,38,22,6,10,72,46,72,26,1.894736842105263,La Liga
4,Ath Madrid,38,21,6,11,62,44,69,18,1.8157894736842106,La Liga
5,Betis,38,15,15,8,59,48,60,11,1.5789473684210527,La Liga
6,Celta,38,14,12,12,53,48,54,5,1.4210526315789473,La Liga
7,Getafe,38,15,6,17,32,38,51,-6,1.3421052631578947,La Liga
8,Vallecano,38,12,14,12,41,44,50,-3,1.3157894736842106,La Liga
9,Valencia,38,13,10,15,46,55,49,-9,1.2894736842105263,La Liga
10,Sociedad,38,11,13,14,59,61,46,-2,1.2105263157894737,La Liga
11,Espanol,38,12,10,16,43,55,46,-12,1.2105263157894737,La Liga
12,Ath Bilbao,38,13,6,19,43,58,45,-15,1.1842105263157894,La Liga
