Rank,Team,P,W,D,L,GF,GA,Pts,GD,PPG,Season
1,Legia,30,20,7,3,59,22,67,37,2.2333333333333334,2012/2013
2,Lech Poznan,30,19,4,7,46,22,61,24,2.033333333333333,2012/2013
3,Slask Wroclaw,30,13,8,9,44,42,47,2,1.5666666666666667,2012/2013
4,Piast Gliwice,30,13,7,10,41,41,46,0,1.5333333333333334,2012/2013
5,Gornik Z.,30,12,7,11,35,31,43,4,1.4333333333333333,2012/2013
6,Polonia Warszawa,30,11,9,10,45,34,42,11,1.4,2012/2013
7,Zaglebie,30,11,7,12,38,37,40,1,1.3333333333333333,2012/2013
8,Lechia Gdansk,30,10,8,12,42,43,38,-1,1.2666666666666666,2012/2013
9,Wisla,30,10,8,12,28,35,38,-7,1.2666666666666666,2012/2013
10,Jagiellonia,30,8,13,9,31,45,37,-14,1.2333333333333334,2012/2013
11,Korona Kielce,30,9,9,12,32,37,36,-5,1.2,2012/2013
12,Pogon Szczecin,30,10,5,15,29,39,35,-10,1.1666666666666667,2012/2013
13,Widzew Lodz,30,8,9,13,30,41,33,-11,1.1,2012/2013
14,Podbeskidzie,30,8,8,14,39,43,32,-4,1.0666666666666667,2012/2013
15,Ruch,30,8,7,15,35,48,31,-13,1.0333333333333334,2012/2013
16,GKS Belchatow,30,7,10,13,24,38,31,-14,1.0333333333333334,2012/2013
1,Legia,37,26,3,8,75,34,81,41,2.189189189189189,2013/2014
2,Lech Poznan,37,19,9,9,68,40,66,28,1.7837837837837838,2013/2014
3,Ruch,37,16,11,10,47,48,59,-1,1.5945945945945945,2013/2014
4,Wisla,37,14,11,12,51,46,53,5,1.4324324324324325,2013/2014
5,Lechia Gdansk,37,13,13,11,46,41,52,5,1.4054054054054055,2013/2014
6,Gornik Z.,37,14,10,13,53,57,52,-4,1.4054054054054055,2013/2014
7,Slask Wroclaw,37,12,15,10,49,41,51,8,1.3783783783783783,2013/2014
8,Pogon Szczecin,37,11,17,9,50,50,50,0,1.3513513513513513,2013/2014
9,Jagiellonia,37,12,12,13,59,58,48,1,1.2972972972972974,2013/2014
10,Zawisza,37,12,10,15,48,48,46,0,1.2432432432432432,2013/2014
11,Podbeskidzie,37,10,15,12,39,45,45,-6,1.2162162162162162,2013/2014
12,Piast Gliwice,37,11,12,14,43,56,45,-13,1.2162162162162162,2013/2014
13,Korona Kielce,37,10,14,13,47,56,44,-9,1.1891891891891893,2013/2014
14,Cracovia,37,12,8,17,43,56,44,-13,1.1891891891891893,2013/2014
15,Widzew Lodz,37,8,9,20,36,59,33,-23,0.8918918918918919,2013/2014
16,Zaglebie,37,7,9,21,32,51,30,-19,0.8108108108108109,2013/2014
1,Lech Poznan,37,19,13,5,67,33,70,34,1.8918918918918919,2014/2015
2,Legia,37,21,7,9,64,33,70,31,1.8918918918918919,2014/2015
3,Jagiellonia,37,19,8,10,59,44,65,15,1.7567567567567568,2014/2015
4,Slask Wroclaw,37,15,13,9,50,43,58,7,1.5675675675675675,2014/2015
5,Cracovia,37,15,9,13,50,44,54,6,1.4594594594594594,2014/2015
6,Wisla,37,12,13,12,56,48,49,8,1.3243243243243243,2014/2015
7,Lechia Gdansk,37,13,10,14,45,47,49,-2,1.3243243243243243,2014/2015
8,Piast Gliwice,37,13,8,16,50,56,47,-6,1.2702702702702702,2014/2015
9,Gornik Z.,37,12,11,14,50,60,47,-10,1.2702702702702702,2014/2015
10,Korona Kielce,37,12,11,14,44,55,47,-11,1.2702702702702702,2014/2015
11,Ruch,37,12,10,15,44,46,46,-2,1.2432432432432432,2014/2015
12,Podbeskidzie,37,12,10,15,47,60,46,-13,1.2432432432432432,2014/2015
13,Leczna,37,11,11,15,39,46,44,-7,1.1891891891891893,2014/2015
14,Pogon Szczecin,37,11,9,17,45,52,42,-7,1.135135135135135,2014/2015
15,Zawisza,37,10,8,19,45,63,38,-18,1.027027027027027,2014/2015
16,GKS Belchatow,37,9,9,19,35,60,36,-25,0.972972972972973,2014/2015
1,Legia,37,21,10,6,70,32,73,38,1.972972972972973,2015/2016
2,Piast Gliwice,37,20,9,8,60,45,69,15,1.864864864864865,2015/2016
3,Zaglebie,37,17,9,11,55,42,60,13,1.6216216216216217,2015/2016
4,Cracovia,37,16,10,11,66,50,58,16,1.5675675675675675,2015/2016
5,Pogon Szczecin,37,12,17,8,43,43,53,0,1.4324324324324325,2015/2016
6,Lechia Gdansk,37,14,10,13,53,44,52,9,1.4054054054054055,2015/2016
7,Wisla,37,12,15,10,61,45,51,16,1.3783783783783783,2015/2016
8,Lech Poznan,37,14,6,17,42,47,48,-5,1.2972972972972974,2015/2016
9,Slask Wroclaw,37,12,12,13,41,46,48,-5,1.2972972972972974,2015/2016
10,Korona Kielce,37,10,15,12,39,45,45,-6,1.2162162162162162,2015/2016
11,Jagiellonia,37,13,6,18,46,62,45,-16,1.2162162162162162,2015/2016
