Team,P,GF,GA,GF_per_match,GA_per_match,Total_goals_per_match,DrawRate,OneGoalRate,BlowoutRate
Bayern Munich,34,122,36,3.588235294117647,1.0588235294117647,4.647058823529412,0.14705882352941177,0.23529411764705882,0.6176470588235294
Stuttgart,34,71,49,2.088235294117647,1.4411764705882353,3.5294117647058822,0.23529411764705882,0.3235294117647059,0.4411764705882353
Dortmund,34,70,34,2.0588235294117645,1.0,3.0588235294117645,0.20588235294117646,0.4411764705882353,0.35294117647058826
Leverkusen,34,68,47,2.0,1.3823529411764706,3.3823529411764706,0.23529411764705882,0.3235294117647059,0.4411764705882353
RB Leipzig,34,66,47,1.9411764705882353,1.3823529411764706,3.323529411764706,0.14705882352941177,0.3235294117647059,0.5294117647058824
Hoffenheim,34,65,52,1.911764705882353,1.5294117647058822,3.4411764705882355,0.20588235294117646,0.2647058823529412,0.5294117647058824
Ein Frankfurt,34,61,65,1.7941176470588236,1.911764705882353,3.7058823529411766,0.3235294117647059,0.3235294117647059,0.35294117647058826
Freiburg,34,51,57,1.5,1.6764705882352942,3.176470588235294,0.23529411764705882,0.4117647058823529,0.35294117647058826
FC Koln,34,49,63,1.4411764705882353,1.8529411764705883,3.2941176470588234,0.3235294117647059,0.35294117647058826,0.3235294117647059
Augsburg,34,45,61,1.3235294117647058,1.7941176470588236,3.1176470588235294,0.20588235294117646,0.38235294117647056,0.4117647058823529
Wolfsburg,34,45,69,1.3235294117647058,2.0294117647058822,3.3529411764705883,0.23529411764705882,0.4411764705882353,0.3235294117647059
Mainz,34,44,53,1.2941176470588236,1.5588235294117647,2.8529411764705883,0.29411764705882354,0.4117647058823529,0.29411764705882354
Union Berlin,34,44,58,1.2941176470588236,1.7058823529411764,3.0,0.2647058823529412,0.3235294117647059,0.4117647058823529
M'gladbach,34,42,53,1.2352941176470589,1.5588235294117647,2.7941176470588234,0.3235294117647059,0.17647058823529413,0.5
Heidenheim,34,41,72,1.2058823529411764,2.1176470588235294,3.323529411764706,0.23529411764705882,0.3235294117647059,0.4411764705882353
Hamburg,34,40,54,1.1764705882352942,1.588235294117647,2.764705882352941,0.3235294117647059,0.4411764705882353,0.23529411764705882
Werder Bremen,34,37,60,1.088235294117647,1.7647058823529411,2.8529411764705883,0.23529411764705882,0.29411764705882354,0.47058823529411764
St Pauli,34,29,60,0.8529411764705882,1.7647058823529411,2.6176470588235294,0.23529411764705882,0.4411764705882353,0.3235294117647059
