Team,P,GF,GA,GF_per_match,GA_per_match,Total_goals_per_match,DrawRate,OneGoalRate,BlowoutRate
Man City,38,77,35,2.026315789473684,0.9210526315789473,2.9473684210526314,0.23684210526315788,0.34210526315789475,0.42105263157894735
Arsenal,38,71,27,1.868421052631579,0.7105263157894737,2.5789473684210527,0.18421052631578946,0.5,0.3157894736842105
Man United,38,69,50,1.8157894736842106,1.3157894736842106,3.1315789473684212,0.2894736842105263,0.47368421052631576,0.23684210526315788
Liverpool,38,63,53,1.6578947368421053,1.394736842105263,3.0526315789473686,0.23684210526315788,0.47368421052631576,0.2894736842105263
Bournemouth,38,58,54,1.5263157894736843,1.4210526315789473,2.9473684210526314,0.47368421052631576,0.3157894736842105,0.21052631578947367
Chelsea,38,58,52,1.5263157894736843,1.368421052631579,2.8947368421052633,0.2631578947368421,0.3157894736842105,0.42105263157894735
Aston Villa,38,56,49,1.4736842105263157,1.2894736842105263,2.763157894736842,0.21052631578947367,0.47368421052631576,0.3157894736842105
Brentford,38,55,52,1.4473684210526316,1.368421052631579,2.8157894736842106,0.2894736842105263,0.23684210526315788,0.47368421052631576
Newcastle,38,53,55,1.394736842105263,1.4473684210526316,2.8421052631578947,0.18421052631578946,0.5263157894736842,0.2894736842105263
Brighton,38,52,46,1.368421052631579,1.2105263157894737,2.5789473684210527,0.2894736842105263,0.3684210526315789,0.34210526315789475
Leeds,38,49,56,1.2894736842105263,1.4736842105263157,2.763157894736842,0.3684210526315789,0.3157894736842105,0.3157894736842105
Nott'm Forest,38,48,51,1.263157894736842,1.3421052631578947,2.6052631578947367,0.2894736842105263,0.21052631578947367,0.5
Tottenham,38,48,57,1.263157894736842,1.5,2.763157894736842,0.2894736842105263,0.42105263157894735,0.2894736842105263
Fulham,38,47,51,1.236842105263158,1.3421052631578947,2.5789473684210527,0.18421052631578946,0.5,0.3157894736842105
Everton,38,47,50,1.236842105263158,1.3157894736842106,2.5526315789473686,0.2631578947368421,0.39473684210526316,0.34210526315789475
West Ham,38,46,65,1.2105263157894737,1.7105263157894737,2.9210526315789473,0.23684210526315788,0.2894736842105263,0.47368421052631576
Sunderland,38,42,48,1.105263157894737,1.263157894736842,2.3684210526315788,0.3157894736842105,0.3684210526315789,0.3157894736842105
Crystal Palace,38,41,51,1.0789473684210527,1.3421052631578947,2.4210526315789473,0.3157894736842105,0.39473684210526316,0.2894736842105263
Burnley,38,38,75,1.0,1.9736842105263157,2.973684210526316,0.2631578947368421,0.3157894736842105,0.42105263157894735
Wolves,38,27,68,0.7105263157894737,1.7894736842105263,2.5,0.2894736842105263,0.2894736842105263,0.42105263157894735
