Team,P,GF,GA,GF_per_match,GA_per_match,Total_goals_per_match,DrawRate,OneGoalRate,BlowoutRate
Lech Poznan,34,62,45,1.8235294117647058,1.3235294117647058,3.1470588235294117,0.35294117647058826,0.38235294117647056,0.2647058823529412
Lechia Gdansk,34,62,65,1.8235294117647058,1.911764705882353,3.735294117647059,0.20588235294117646,0.4117647058823529,0.38235294117647056
Jagiellonia,34,56,41,1.6470588235294117,1.2058823529411764,2.8529411764705883,0.3235294117647059,0.38235294117647056,0.29411764705882354
Radomiak Radom,34,52,53,1.5294117647058822,1.5588235294117647,3.088235294117647,0.3235294117647059,0.2647058823529412,0.4117647058823529
GKS Katowice,34,51,45,1.5,1.3235294117647058,2.823529411764706,0.23529411764705882,0.35294117647058826,0.4117647058823529
Rakow,34,51,40,1.5,1.1764705882352942,2.676470588235294,0.20588235294117646,0.38235294117647056,0.4117647058823529
Gornik Zabrze,34,50,38,1.4705882352941178,1.1176470588235294,2.588235294117647,0.23529411764705882,0.4117647058823529,0.35294117647058826
Pogon Szczecin,34,47,49,1.3823529411764706,1.4411764705882353,2.823529411764706,0.17647058823529413,0.5,0.3235294117647059
Motor Lublin,34,46,53,1.3529411764705883,1.5588235294117647,2.911764705882353,0.38235294117647056,0.3235294117647059,0.29411764705882354
Zaglebie,34,45,38,1.3235294117647058,1.1176470588235294,2.4411764705882355,0.2647058823529412,0.38235294117647056,0.35294117647058826
Termalica B-B.,34,43,65,1.2647058823529411,1.911764705882353,3.176470588235294,0.20588235294117646,0.4117647058823529,0.38235294117647056
Piast Gliwice,34,42,46,1.2352941176470589,1.3529411764705883,2.588235294117647,0.23529411764705882,0.4117647058823529,0.35294117647058826
Legia,34,42,37,1.2352941176470589,1.088235294117647,2.323529411764706,0.38235294117647056,0.35294117647058826,0.2647058823529412
Widzew Lodz,34,41,41,1.2058823529411764,1.2058823529411764,2.411764705882353,0.17647058823529413,0.5294117647058824,0.29411764705882354
Korona Kielce,34,40,40,1.1764705882352942,1.1764705882352942,2.3529411764705883,0.29411764705882354,0.29411764705882354,0.4117647058823529
Cracovia,34,39,42,1.1470588235294117,1.2352941176470589,2.3823529411764706,0.4411764705882353,0.3235294117647059,0.23529411764705882
Wisla Plock,34,34,38,1.0,1.1176470588235294,2.1176470588235294,0.29411764705882354,0.4117647058823529,0.29411764705882354
Arka Gdynia,34,34,61,1.0,1.7941176470588236,2.7941176470588234,0.2647058823529412,0.29411764705882354,0.4411764705882353
