Team,P,GF,GA,GF_per_match,GA_per_match,Total_goals_per_match,DrawRate,OneGoalRate,BlowoutRate
Barcelona,38,95,36,2.5,0.9473684210526315,3.4473684210526314,0.02631578947368421,0.3157894736842105,0.6578947368421053
Real Madrid,38,77,35,2.026315789473684,0.9210526315789473,2.9473684210526314,0.13157894736842105,0.3684210526315789,0.5
Villarreal,38,72,46,1.894736842105263,1.2105263157894737,3.1052631578947367,0.15789473684210525,0.34210526315789475,0.5
Ath Madrid,38,62,44,1.631578947368421,1.1578947368421053,2.789473684210526,0.15789473684210525,0.5,0.34210526315789475
Betis,38,59,48,1.5526315789473684,1.263157894736842,2.8157894736842106,0.39473684210526316,0.2894736842105263,0.3157894736842105
Sociedad,38,59,61,1.5526315789473684,1.605263157894737,3.1578947368421053,0.34210526315789475,0.4473684210526316,0.21052631578947367
Celta,38,53,48,1.394736842105263,1.263157894736842,2.6578947368421053,0.3157894736842105,0.42105263157894735,0.2631578947368421
Elche,38,49,57,1.2894736842105263,1.5,2.789473684210526,0.34210526315789475,0.3684210526315789,0.2894736842105263
Mallorca,38,47,57,1.236842105263158,1.5,2.736842105263158,0.23684210526315788,0.4473684210526316,0.3157894736842105
Levante,38,47,61,1.236842105263158,1.605263157894737,2.8421052631578947,0.23684210526315788,0.2631578947368421,0.5
Sevilla,38,46,60,1.2105263157894737,1.5789473684210527,2.789473684210526,0.18421052631578946,0.5,0.3157894736842105
Valencia,38,46,55,1.2105263157894737,1.4473684210526316,2.6578947368421053,0.2631578947368421,0.4473684210526316,0.2894736842105263
Osasuna,38,44,50,1.1578947368421053,1.3157894736842106,2.473684210526316,0.23684210526315788,0.5526315789473685,0.21052631578947367
Alaves,38,44,56,1.1578947368421053,1.4736842105263157,2.6315789473684212,0.2631578947368421,0.5526315789473685,0.18421052631578946
Ath Bilbao,38,43,58,1.131578947368421,1.5263157894736843,2.6578947368421053,0.15789473684210525,0.5526315789473685,0.2894736842105263
Espanol,38,43,55,1.131578947368421,1.4473684210526316,2.5789473684210527,0.2631578947368421,0.47368421052631576,0.2631578947368421
Vallecano,38,41,44,1.0789473684210527,1.1578947368421053,2.236842105263158,0.3684210526315789,0.3157894736842105,0.3157894736842105
Girona,38,39,55,1.0263157894736843,1.4473684210526316,2.473684210526316,0.3684210526315789,0.42105263157894735,0.21052631578947367
Getafe,38,32,38,0.8421052631578947,1.0,1.8421052631578947,0.15789473684210525,0.5263157894736842,0.3157894736842105
Oviedo,38,26,60,0.6842105263157895,1.5789473684210527,2.263157894736842,0.2894736842105263,0.3157894736842105,0.39473684210526316
