Team,P,GF,GA,GF_per_match,GA_per_match,Total_goals_per_match,DrawRate,OneGoalRate,BlowoutRate
Paris SG,34,74,29,2.176470588235294,0.8529411764705882,3.0294117647058822,0.11764705882352941,0.4117647058823529,0.47058823529411764
Lens,34,66,35,1.9411764705882353,1.0294117647058822,2.9705882352941178,0.11764705882352941,0.4117647058823529,0.47058823529411764
Marseille,34,63,45,1.8529411764705883,1.3235294117647058,3.176470588235294,0.14705882352941177,0.4117647058823529,0.4411764705882353
Monaco,34,60,54,1.7647058823529411,1.588235294117647,3.3529411764705883,0.17647058823529413,0.4117647058823529,0.4117647058823529
Rennes,34,59,50,1.7352941176470589,1.4705882352941178,3.2058823529411766,0.23529411764705882,0.29411764705882354,0.47058823529411764
Strasbourg,34,58,47,1.7058823529411764,1.3823529411764706,3.088235294117647,0.23529411764705882,0.5294117647058824,0.23529411764705882
Lyon,34,53,40,1.5588235294117647,1.1764705882352942,2.735294117647059,0.17647058823529413,0.5294117647058824,0.29411764705882354
Lille,34,52,37,1.5294117647058822,1.088235294117647,2.6176470588235294,0.20588235294117646,0.4117647058823529,0.38235294117647056
Toulouse,33,47,46,1.4242424242424243,1.393939393939394,2.8181818181818183,0.24242424242424243,0.48484848484848486,0.2727272727272727
Lorient,34,48,51,1.411764705882353,1.5,2.911764705882353,0.35294117647058826,0.17647058823529413,0.47058823529411764
Paris FC,34,47,50,1.3823529411764706,1.4705882352941178,2.8529411764705883,0.3235294117647059,0.4411764705882353,0.23529411764705882
Brest,34,43,55,1.2647058823529411,1.6176470588235294,2.8823529411764706,0.2647058823529412,0.29411764705882354,0.4411764705882353
Nice,34,37,60,1.088235294117647,1.7647058823529411,2.8529411764705883,0.3235294117647059,0.2647058823529412,0.4117647058823529
Auxerre,34,34,44,1.0,1.2941176470588236,2.2941176470588234,0.29411764705882354,0.38235294117647056,0.3235294117647059
Metz,34,32,76,0.9411764705882353,2.235294117647059,3.176470588235294,0.23529411764705882,0.3235294117647059,0.4411764705882353
Le Havre,34,32,44,0.9411764705882353,1.2941176470588236,2.235294117647059,0.4117647058823529,0.38235294117647056,0.20588235294117646
Nantes,33,29,52,0.8787878787878788,1.5757575757575757,2.4545454545454546,0.24242424242424243,0.42424242424242425,0.3333333333333333
Angers,34,29,48,0.8529411764705882,1.411764705882353,2.264705882352941,0.2647058823529412,0.38235294117647056,0.35294117647058826
