Team,P,GF,GA,GF_per_match,GA_per_match,Total_goals_per_match,DrawRate,OneGoalRate,BlowoutRate
Inter,38,89,35,2.3421052631578947,0.9210526315789473,3.263157894736842,0.15789473684210525,0.34210526315789475,0.5
Como,38,65,29,1.7105263157894737,0.7631578947368421,2.473684210526316,0.2894736842105263,0.2894736842105263,0.42105263157894735
Juventus,38,61,34,1.605263157894737,0.8947368421052632,2.5,0.3157894736842105,0.34210526315789475,0.34210526315789475
Roma,38,59,31,1.5526315789473684,0.8157894736842105,2.3684210526315788,0.10526315789473684,0.5,0.39473684210526316
Napoli,38,58,36,1.5263157894736843,0.9473684210526315,2.473684210526316,0.18421052631578946,0.5263157894736842,0.2894736842105263
Milan,38,53,35,1.394736842105263,0.9210526315789473,2.3157894736842106,0.2631578947368421,0.5263157894736842,0.21052631578947367
Atalanta,38,51,36,1.3421052631578947,0.9473684210526315,2.289473684210526,0.3684210526315789,0.34210526315789475,0.2894736842105263
Bologna,38,49,46,1.2894736842105263,1.2105263157894737,2.5,0.21052631578947367,0.4473684210526316,0.34210526315789475
Sassuolo,38,46,50,1.2105263157894737,1.3157894736842106,2.526315789473684,0.18421052631578946,0.5263157894736842,0.2894736842105263
Udinese,38,45,48,1.1842105263157894,1.263157894736842,2.4473684210526314,0.21052631578947367,0.4473684210526316,0.34210526315789475
Torino,38,44,63,1.1578947368421053,1.6578947368421053,2.8157894736842106,0.23684210526315788,0.47368421052631576,0.2894736842105263
Fiorentina,38,41,50,1.0789473684210527,1.3157894736842106,2.3947368421052633,0.39473684210526316,0.3684210526315789,0.23684210526315788
Genoa,38,41,51,1.0789473684210527,1.3421052631578947,2.4210526315789473,0.2894736842105263,0.4473684210526316,0.2631578947368421
Lazio,38,41,40,1.0789473684210527,1.0526315789473684,2.1315789473684212,0.3157894736842105,0.3157894736842105,0.3684210526315789
Cagliari,38,40,53,1.0526315789473684,1.394736842105263,2.4473684210526314,0.2631578947368421,0.4473684210526316,0.2894736842105263
Cremonese,38,32,57,0.8421052631578947,1.5,2.3421052631578947,0.2631578947368421,0.34210526315789475,0.39473684210526316
Lecce,38,28,50,0.7368421052631579,1.3157894736842106,2.0526315789473686,0.21052631578947367,0.5,0.2894736842105263
Parma,38,28,46,0.7368421052631579,1.2105263157894737,1.9473684210526316,0.3157894736842105,0.42105263157894735,0.2631578947368421
Pisa,38,26,71,0.6842105263157895,1.868421052631579,2.5526315789473686,0.3157894736842105,0.3684210526315789,0.3157894736842105
Verona,38,25,61,0.6578947368421053,1.605263157894737,2.263157894736842,0.3157894736842105,0.39473684210526316,0.2894736842105263
